doc_id,vendor,category,title,url,type,access,verified,local_file,notes
QRG-DC,Dell,portfolio,Dell Networking Data Center Quick Reference Guide,https://www.delltechnologies.com/asset/en-us/products/networking/selling-competitive/corpus/raw/QRG-DC.pdf,pdf,direct,yes,corpus/raw/QRG-DC.pdf,Portfolio source of truth — CONFIRMED June 2026 v2.1 (591KB; matches local). Use this asset selling-competitive path (dell.com/learn mirror is older Oct 2025 v1.3 + robots-blocked)
OPTICS,Dell,optics,Dell Networking Transceivers & Cables Spec Sheet,https://www.delltechnologies.com/asset/en-us/products/networking/technical-support/corpus/raw/OPTICS.pdf,pdf,direct,yes,corpus/raw/OPTICS.pdf,Authoritative for DAC/AOC/optics model names + lengths + breakout
SW-Z9664F,Dell,switch-spec,PowerSwitch Z9664F-ON Spec Sheet,https://www.delltechnologies.com/asset/en-us/products/networking/technical-support/dell-powerswitch-z9664f-on-spec-sheet.pdf,pdf,direct,yes,—,64x400G/256x100G 51.2T; PowerScale back-end supported
SW-S5448F,Dell,switch-spec,PowerSwitch S5448F-ON Spec Sheet,https://www.delltechnologies.com/asset/en-us/products/networking/technical-support/dell-emc-powerswitch-s5448f-on-spec-sheet.pdf,pdf,direct,yes,—,48x100G SFP56-DD + 8x400G 16T (multi-rate ToR)
SW-S5200,Dell,switch-spec,PowerSwitch S5200-ON Series Spec Sheet (S5212/24/32/48/96F),https://www.delltechnologies.com/asset/en-us/products/networking/technical-support/dell_emc_networking-s5200_on_spec_sheet.pdf,pdf,direct,yes,—,Covers S5232F (6.4T FD / 3.2T single) + S5248F (4.0T FD / 2.0T single) — already full-duplex in catalog
SW-Z9432F,Dell,switch-spec,PowerSwitch Z9432F-ON Spec Sheet,https://www.delltechnologies.com/asset/en-us/products/networking/technical-support/dell-emc-powerswitch-z9432f-spec-sheet.pdf,pdf,direct,yes,—,32x400G. 25.6 Tbps full-duplex (12.8T single)
SW-Z9864F,Dell,switch-spec,PowerSwitch Z9864F-ON Spec Sheet,https://www.delltechnologies.com/asset/en-us/products/networking/technical-support/dell-powerswitch-z9864f-on-spec-sheet.pdf,pdf,direct,yes,—,64x800G OSFP112. 102.4 Tbps full-duplex (51.2T single)
SW-Z9964F,Dell,switch-spec,PowerSwitch Z9964F-ON Spec Sheet,https://www.dell.com/support/product-details/en-us/product/networking-z9964f-on/docs,html,manual,verify,—,64x1.6T OSFP224. 204.8 Tbps FD (102.4T single) inferred from pattern — asset PDF URL 404s; confirm figure
SW-S3248T,Dell,switch-spec,PowerSwitch S3248T-ON docs (OOB mgmt),https://www.dell.com/support/product-details/en-us/product/networking-s3248t-on/docs,html,manual,pattern,—,48x1G-BaseT OOB management switch
SW-E3200,Dell,switch-spec,PowerSwitch E3200-ON Series Spec Sheet (E3224F/E3248P/E3248PXE),https://www.delltechnologies.com/asset/en-us/products/networking/technical-support/dell-powerswitch-e3200-specsheet.pdf,pdf,direct,yes,—,Edge/access on SONiC: E3248PXE 48x mGig 90W PoE + 4x25G + 2x100G; E3248P 48x1G 30W + 4x10G + 2x100G; E3224F 24x SFP + 4x10G + 2x100G. VLT/MLAG (no stacking in OS10)
SONIC-L3,Dell,sonic,Enterprise SONiC Distribution — Layer 3 Fabric (H18364),https://infohub.delltechnologies.com/en-us/t/enterprise-sonic-distribution-by-dell-technologies-layer-3-fabric/,html,browser-check,yes,corpus/raw/SONIC-L3.pdf,Oversubscription 2:1; spines 2-8; two/three-tier Clos (p.10 sizing rule)
SONIC-UC,Dell,sonic,Dell Enterprise SONiC Networking Use Case Guidebook,https://infohub.delltechnologies.com/en-us/l/dell-enterprise-sonic-networking-use-case-guidebook/,html,browser-check,yes,corpus/raw/SONIC-UC.pdf,L3 fabric + GenAI fabric deployment recipes
SONIC-POC,Dell,sonic,Enterprise SONiC Distribution Proof of Concept Deployment Guide (H18645),https://infohub.delltechnologies.com/en-us/l/enterprise-sonic-distribution-by-dell-technologies-proof-of-concept-deployment-guide/,html,browser-check,yes,corpus/raw/SONIC-POC.pdf,Static-media PDF was STALE H18645.1 (2021); current is this Info Hub guide. Local file H18645.3 is newer
SONIC-OS10,Dell,sonic,SmartFabric OS10 white paper (H19795),https://www.dell.com/support/manuals/en-us/smartfabric-os10-emp-partner/,html,manual,pattern,corpus/raw/SONIC-OS10.pdf,VLT/VLTi (OS10 only) — redundancy method reference
SONIC-USER,Dell,sonic,Dell Enterprise SONiC User/Config Guide,https://www.dell.com/support/home/en-us/product-support/product/enterprise-sonic-distribution/docs,html,manual,pattern,—,CLI/config guide — EVPN-MH / MC-LAG / PFC / ECN config
